exp,run_id,engine,scenario,scheme,mode,batch,zipf_s,ep_size,total_tokens,konig_us,rtt_us,barrier_us,cct_us,step_us,throughput_GBs,lat_mean,lat_p50,lat_p99,hot_p99,cold_p99,hot_mean,cold_mean,roundtrip_step_us,hist_path
exp2_combine,s1_ub_rg_b16_z0.3_ep0_sd1,packet,1,ub_rg,combine,16,0.3,128,16384,6.73792,0.6,0.4,17.491,17.891,6714.339489,3.845996,3.536,10.362,12.194,5.624,5.73985,3.325366,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s1_ub_rg_b16_z0.3_ep0_sd1/hist.csv
exp2_combine,s1_ub_rg_b16_z0.7_ep0_sd1,packet,1,ub_rg,combine,16,0.7,128,16384,19.78368,0.6,0.4,42.697,43.097,2750.556526,5.170545,3.338,22.989,26.901,4.835,9.452389,2.632944,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s1_ub_rg_b16_z0.7_ep0_sd1/hist.csv
exp2_combine,s1_ub_rg_b16_z0.9_ep0_sd1,packet,1,ub_rg,combine,16,0.9,128,16384,27.2384,0.6,0.4,57.617,58.017,2038.296197,6.838305,3.41,32.485,36.07,4.108,12.128596,2.306561,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s1_ub_rg_b16_z0.9_ep0_sd1/hist.csv
exp2_combine,s1_ub_rg_b16_z0_ep0_sd1,packet,1,ub_rg,combine,16,0.0,128,16384,4.15744,0.6,0.4,10.07,10.47,11662.4143,3.585493,3.532,6.048,5.995,6.065,3.522975,3.608712,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s1_ub_rg_b16_z0_ep0_sd1/hist.csv
exp2_combine,s2_packet_spray_b16_z0.3_ep0_sd1,packet,2,packet_spray,combine,16,0.3,1024,131072,18.35008,0.0,4.0,124.126,128.126,7569.116027,24.484241,21.398,68.588,99.791,40.895,34.127209,21.404525,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s2_packet_spray_b16_z0.3_ep0_sd1/hist.csv
exp2_combine,s2_packet_spray_b16_z0.7_ep0_sd1,packet,2,packet_spray,combine,16,0.7,1024,131072,87.16288,0.0,4.0,761.071,765.071,1234.476279,64.662423,26.655,562.326,240.551,135.266,119.154466,19.865721,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s2_packet_spray_b16_z0.7_ep0_sd1/hist.csv
exp2_combine,s2_packet_spray_b16_z0.9_ep0_sd1,packet,2,packet_spray,combine,16,0.9,1024,131072,165.29408,0.0,4.0,1441.354,1445.354,651.834384,145.051524,43.444,1273.832,176.818,202.695,231.245912,18.793959,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s2_packet_spray_b16_z0.9_ep0_sd1/hist.csv
exp2_combine,s2_packet_spray_b16_z0_ep0_sd1,packet,2,packet_spray,combine,16,0.0,1024,131072,18.35008,0.0,4.0,31.13,35.13,30180.664825,22.189723,22.069,27.557,27.634,23.551,22.191993,22.197101,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s2_packet_spray_b16_z0_ep0_sd1/hist.csv
exp2_combine,s2_ub_rg_b16_z0.3_ep0_sd1,packet,2,ub_rg,combine,16,0.3,1024,131072,18.35008,1.1,1.2,501.475,502.675,1873.521304,7.427849,7.085,18.56,24.499,13.664,9.638944,6.42005,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s2_ub_rg_b16_z0.3_ep0_sd1/hist.csv
exp2_combine,s2_ub_rg_b16_z0.7_ep0_sd1,packet,2,ub_rg,combine,16,0.7,1024,131072,87.16288,1.1,1.2,2503.921,2505.121,375.221142,16.184787,8.291,123.159,64.842,23.421,28.77522,5.522183,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s2_ub_rg_b16_z0.7_ep0_sd1/hist.csv
exp2_combine,s2_ub_rg_b16_z0.9_ep0_sd1,packet,2,ub_rg,combine,16,0.9,1024,131072,165.29408,1.1,1.2,4502.06,4503.26,208.6876,32.929596,9.995,217.96,56.969,25.508,51.907607,4.819346,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s2_ub_rg_b16_z0.9_ep0_sd1/hist.csv
exp2_combine,s2_ub_rg_b16_z0_ep0_sd1,packet,2,ub_rg,combine,16,0.0,1024,131072,18.35008,1.1,1.2,27.56,28.76,34090.134107,7.016686,6.963,14.451,14.519,13.888,6.988036,7.021059,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s2_ub_rg_b16_z0_ep0_sd1/hist.csv
exp2_combine,s3_packet_spray_b16_z0.3_ep0_sd1,packet,3,packet_spray,combine,16,0.3,1024,131072,18.35008,0.0,4.0,357.024,361.024,2631.543246,129.67764,128.992,309.577,333.636,157.535,199.218903,96.538261,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s3_packet_spray_b16_z0.3_ep0_sd1/hist.csv
exp2_combine,s3_packet_spray_b16_z0.7_ep0_sd1,packet,3,packet_spray,combine,16,0.7,1024,131072,87.16288,0.0,4.0,1252.022,1256.022,750.405421,235.930431,135.116,1051.645,740.103,208.085,429.302236,57.119069,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s3_packet_spray_b16_z0.7_ep0_sd1/hist.csv
exp2_combine,s3_packet_spray_b16_z0.9_ep0_sd1,packet,3,packet_spray,combine,16,0.9,1024,131072,165.29408,0.0,4.0,2024.348,2028.348,464.111949,394.877803,219.193,1826.11,729.075,195.333,621.833148,39.485087,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s3_packet_spray_b16_z0.9_ep0_sd1/hist.csv
exp2_combine,s3_packet_spray_b16_z0_ep0_sd1,packet,3,packet_spray,combine,16,0.0,1024,131072,18.35008,0.0,4.0,184.04,188.04,5104.999435,130.109068,145.448,177.499,179.826,149.62,151.31047,118.672209,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s3_packet_spray_b16_z0_ep0_sd1/hist.csv
exp2_combine,s3_ub_rg_b16_z0.3_ep0_sd1,packet,3,ub_rg,combine,16,0.3,1024,131072,18.35008,1.1,1.2,519.939,521.139,1806.989081,21.960665,20.198,66.738,71.521,41.96,35.192658,16.862116,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s3_ub_rg_b16_z0.3_ep0_sd1/hist.csv
exp2_combine,s3_ub_rg_b16_z0.7_ep0_sd1,packet,3,ub_rg,combine,16,0.7,1024,131072,87.16288,1.1,1.2,2599.588,2600.788,361.412692,33.569007,18.552,131.887,136.199,79.21,54.863152,14.181747,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s3_ub_rg_b16_z0.7_ep0_sd1/hist.csv
exp2_combine,s3_ub_rg_b16_z0_ep0_sd1,packet,3,ub_rg,combine,16,0.0,1024,131072,18.35008,1.1,1.2,54.324,55.524,17294.825418,18.778919,19.264,36.785,36.982,30.289,19.241511,18.505158,,/home/luke/workspace/dyn_latency/results/ub_rg_packet/exp2_combine/s3_ub_rg_b16_z0_ep0_sd1/hist.csv
