bin_lo_us,bin_hi_us,count
0,1,32
1,2,56
2,3,56
3,4,56
4,5,56
5,6,56
6,7,56
7,8,56
8,9,56
9,10,112
10,11,104
11,12,115
12,13,114
13,14,115
14,15,117
15,16,127
16,17,174
17,18,171
18,19,175
19,20,177
20,21,177
21,22,173
22,23,191
23,24,229
24,25,237
25,26,237
26,27,244
27,28,238
28,29,238
29,30,255
30,31,292
31,32,289
32,33,295
33,34,270
34,35,298
35,36,301
36,37,320
37,38,356
38,39,359
39,40,372
40,41,361
41,42,366
42,43,366
43,44,355
44,45,418
45,46,432
46,47,430
47,48,438
48,49,443
49,50,441
50,51,489
51,52,474
52,53,500
53,54,512
54,55,540
55,56,534
56,57,521
57,58,580
58,59,598
59,60,633
60,61,626
61,62,676
62,63,660
63,64,647
64,65,678
65,66,762
66,67,818
67,68,870
68,69,856
69,70,926
70,71,938
71,72,1076
72,73,1155
73,74,1318
74,75,1178
75,76,1220
76,77,1160
77,78,1177
78,79,1388
79,80,1488
80,81,1709
81,82,1869
82,83,2121
83,84,2569
84,85,3140
85,86,3690
86,87,4007
87,88,4379
88,89,4825
89,90,5466
90,91,6192
91,92,6923
92,93,7549
93,94,7738
94,95,7782
95,96,7741
96,97,7719
97,98,7731
98,99,7718
99,100,7730
100,101,7699
101,102,7678
102,103,7610
103,104,7465
104,105,7282
105,106,6816
106,107,6903
107,108,6611
108,109,6560
109,110,6358
110,111,6113
111,112,5899
112,113,5702
113,114,5428
114,115,5167
115,116,5094
116,117,4949
117,118,4818
118,119,4628
119,120,4473
120,121,4359
121,122,4255
122,123,4105
123,124,4018
124,125,3893
125,126,3746
126,127,3741
127,128,3681
128,129,3623
129,130,3530
130,131,3458
131,132,3353
132,133,3281
133,134,3216
134,135,3178
135,136,3128
136,137,3063
137,138,2985
138,139,2901
139,140,2859
140,141,2826
141,142,2821
142,143,2785
143,144,2743
144,145,2673
145,146,2600
146,147,2416
147,148,2541
148,149,2532
149,150,2545
150,151,2511
151,152,2462
152,153,2403
153,154,2358
154,155,2328
155,156,2266
156,157,2322
157,158,2301
158,159,2240
159,160,2158
160,161,2117
161,162,2090
162,163,2111
163,164,2095
164,165,2084
165,166,2010
166,167,1991
167,168,1962
168,169,1985
169,170,2006
170,171,1976
171,172,1966
172,173,1925
173,174,1882
174,175,1850
175,176,1870
176,177,1863
177,178,1837
178,179,1815
179,180,1782
180,181,1746
181,182,1716
182,183,1746
183,184,1754
184,185,1742
185,186,1723
186,187,1594
187,188,1653
188,189,1631
189,190,1661
190,191,1656
191,192,1645
192,193,1633
193,194,1610
194,195,1561
195,196,1563
196,197,1514
197,198,1596
198,199,1590
199,200,589570
