experiment,run_id,summary_path,engine,network_engine,status,tier,scenario,scheme,batch_size,zipf_s,ep_size,layers,microbatches,attention_devices,ffn_devices,m_to_n,placement,te_profile,step_time_us,throughput_tokens_s,baseline_step_time_us,speedup,tc_us,dispatch_us,combine_us,mask_value,mask_label,mask_definition,packet_evidence_paths,raw.cluster_throughput_tokens_s,raw.engine,raw.experiment,raw.job.batch,raw.job.ep_size,raw.job.exp,raw.job.layers,raw.job.m_attn,raw.job.microbatches,raw.job.n_ffn,raw.job.placement,raw.job.scenario,raw.job.scheme,raw.job.seed,raw.job.te_profile,raw.job.tier,raw.job.zipf_s,raw.model.cluster_throughput_tokens_s,raw.model.communication_busy_us,raw.model.communication_utilization,raw.model.compute_busy_us,raw.model.compute_utilization,raw.model.config.attention_devices,raw.model.config.batch_size,raw.model.config.combine_us,raw.model.config.dispatch_us,raw.model.config.ffn_devices,raw.model.config.layers,raw.model.config.microbatches,raw.model.config.seed,raw.model.config.ta_us,raw.model.config.tc_us,raw.model.config.te_profile,raw.model.config.te_us,raw.model.config.uniform_high_us,raw.model.config.uniform_low_us,raw.model.events._count,raw.model.layer_results._count,raw.model.masking.bidirectional_hidden,raw.model.masking.ffn_not_exposed,raw.model.masking.fully_hidden,raw.model.masking.single_direction_hidden,raw.model.per_device_throughput_tokens_s,raw.model.startup_us,raw.model.steady_state_us,raw.model.step_time_us,raw.model.ta_us,raw.model.tc_us,raw.model.te_profile,raw.model.te_us,raw.model.tf_us,raw.network_inputs.combine_cct_us,raw.network_inputs.dispatch_cct_us,raw.network_inputs.m2n_cct_us,raw.network_inputs.n2m_cct_us,raw.network_inputs.seed_aggregation,raw.network_inputs.tc_definition,raw.network_inputs.tc_us,raw.network_runs._count,raw.per_device_throughput_tokens_s,raw.run_id,raw.step_time_us,raw.tier,report_included
sys1,sys1_s1_packet_spray_b64_z0.9_ep128_L60_m1_sd1,sys1/sys1_s1_packet_spray_b64_z0.9_ep128_L60_m1_sd1/summary.json,packet,,ok,controls,1,packet_spray,64,0.9,128,60,1,0,0,,role_packed,hidden,227508.52212292393,281.30814354910405,,,,2658.132,968.389,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb64_z0.9_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb64_z0.9_ep128_sd1/summary.json""]",,packet,sys1,64,128,sys1,60,0,1,0,role_packed,1,packet_spray,1,hidden,controls,0.9,,,,,,,64,968.389,2658.132,,60,,1,,,,,90.0,75.0,,60,,,,,281.30814354910405,,,227508.52212292393,,,,,,968.389,2658.132,,,,,,2,281.30814354910405,sys1_s1_packet_spray_b64_z0.9_ep128_L60_m1_sd1,227508.52212292393,controls,True
sys1,sys1_s1_packet_spray_b64_z0_ep128_L60_m1_sd1,sys1/sys1_s1_packet_spray_b64_z0_ep128_L60_m1_sd1/summary.json,packet,,ok,controls,1,packet_spray,64,0,128,60,1,0,0,,role_packed,hidden,22083.46212292399,2898.0963059032338,,,,101.05,101.72,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_dispatch_mb64_z0_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_packet_spray_combine_mb64_z0_ep128_sd1/summary.json""]",,packet,sys1,64,128,sys1,60,0,1,0,role_packed,1,packet_spray,1,hidden,controls,0.0,,,,,,,64,101.72,101.05,,60,,1,,,,,90.0,75.0,,60,,,,,2898.0963059032338,,,22083.46212292399,,,,,,101.72,101.05,,,,,,2,2898.0963059032338,sys1_s1_packet_spray_b64_z0_ep128_L60_m1_sd1,22083.46212292399,controls,True
sys1,sys1_s1_ub_rg_b16_z0.5_ep128_L60_m1_sd1,sys1/sys1_s1_ub_rg_b16_z0.5_ep128_L60_m1_sd1/summary.json,packet,,ok,controls,1,ub_rg,16,0.5,128,60,1,0,0,,role_packed,hidden,15047425.962122923,1.0633047831752007,,,,366.067,250259.078,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_dispatch_mb16_z0.5_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_combine_mb16_z0.5_ep128_sd1/summary.json""]",,packet,sys1,16,128,sys1,60,0,1,0,role_packed,1,ub_rg,1,hidden,controls,0.5,,,,,,,16,250259.078,366.067,,60,,1,,,,,90.0,75.0,,60,,,,,1.0633047831752007,,,15047425.962122923,,,,,,250259.078,366.067,,,,,,2,1.0633047831752007,sys1_s1_ub_rg_b16_z0.5_ep128_L60_m1_sd1,15047425.962122923,controls,True
sys1,sys1_s1_ub_rg_b16_z0.9_ep128_L60_m1_sd1,sys1/sys1_s1_ub_rg_b16_z0.9_ep128_L60_m1_sd1/summary.json,packet,,ok,controls,1,ub_rg,16,0.9,128,60,1,0,0,,role_packed,hidden,33621249.16212292,0.47588951626536546,,,,50128.071,510060.794,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_dispatch_mb16_z0.9_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_combine_mb16_z0.9_ep128_sd1/summary.json""]",,packet,sys1,16,128,sys1,60,0,1,0,role_packed,1,ub_rg,1,hidden,controls,0.9,,,,,,,16,510060.794,50128.071,,60,,1,,,,,90.0,75.0,,60,,,,,0.47588951626536546,,,33621249.16212292,,,,,,510060.794,50128.071,,,,,,2,0.47588951626536546,sys1_s1_ub_rg_b16_z0.9_ep128_L60_m1_sd1,33621249.16212292,controls,True
sys1,sys1_s1_ub_rg_b16_z0_ep128_L60_m1_sd1,sys1/sys1_s1_ub_rg_b16_z0_ep128_L60_m1_sd1/summary.json,packet,,ok,controls,1,ub_rg,16,0,128,60,1,0,0,,role_packed,hidden,1249584.642122924,12.804254678432619,,,,10355.483,10305.64,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_dispatch_mb16_z0_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_combine_mb16_z0_ep128_sd1/summary.json""]",,packet,sys1,16,128,sys1,60,0,1,0,role_packed,1,ub_rg,1,hidden,controls,0.0,,,,,,,16,10305.64,10355.483,,60,,1,,,,,90.0,75.0,,60,,,,,12.804254678432619,,,1249584.642122924,,,,,,10305.64,10355.483,,,,,,2,12.804254678432619,sys1_s1_ub_rg_b16_z0_ep128_L60_m1_sd1,1249584.642122924,controls,True
sys1,sys1_s1_ub_rg_b256_z0.5_ep128_L32_m1_sd1,sys1/sys1_s1_ub_rg_b256_z0.5_ep128_L32_m1_sd1/summary.json,packet,,ok,controls,1,ub_rg,256,0.5,128,32,1,0,0,,role_packed,hidden,46140632.868829876,5.548255064636094,,,,11415.962,1430314.237,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_dispatch_mb256_z0.5_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_combine_mb256_z0.5_ep128_sd1/summary.json""]",,packet,sys1,256,128,sys1,32,0,1,0,role_packed,1,ub_rg,1,hidden,controls,0.5,,,,,,,256,1430314.237,11415.962,,32,,1,,,,,90.0,75.0,,32,,,,,5.548255064636094,,,46140632.868829876,,,,,,1430314.237,11415.962,,,,,,2,5.548255064636094,sys1_s1_ub_rg_b256_z0.5_ep128_L32_m1_sd1,46140632.868829876,controls,True
sys1,sys1_s1_ub_rg_b256_z0.5_ep128_L60_m1_sd1,sys1/sys1_s1_ub_rg_b256_z0.5_ep128_L60_m1_sd1/summary.json,packet,,ok,main,1,ub_rg,256,0.5,128,60,1,0,0,,role_packed,hidden,86513729.20212293,2.959067911659484,,,,11415.962,1430314.237,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_dispatch_mb256_z0.5_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_combine_mb256_z0.5_ep128_sd1/summary.json""]",,packet,sys1,256,128,sys1,60,0,1,0,role_packed,1,ub_rg,1,hidden,main,0.5,,,,,,,256,1430314.237,11415.962,,60,,1,,,,,90.0,75.0,,60,,,,,2.959067911659484,,,86513729.20212293,,,,,,1430314.237,11415.962,,,,,,2,2.959067911659484,sys1_s1_ub_rg_b256_z0.5_ep128_L60_m1_sd1,86513729.20212293,main,True
sys1,sys1_s1_ub_rg_b256_z0.5_ep128_L94_m1_sd1,sys1/sys1_s1_ub_rg_b256_z0.5_ep128_L94_m1_sd1/summary.json,packet,,ok,controls,1,ub_rg,256,0.5,128,94,1,0,0,,role_packed,hidden,135538119.65622994,1.8887675338074759,,,,11415.962,1430314.237,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_dispatch_mb256_z0.5_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_combine_mb256_z0.5_ep128_sd1/summary.json""]",,packet,sys1,256,128,sys1,94,0,1,0,role_packed,1,ub_rg,1,hidden,controls,0.5,,,,,,,256,1430314.237,11415.962,,94,,1,,,,,90.0,75.0,,94,,,,,1.8887675338074759,,,135538119.65622994,,,,,,1430314.237,11415.962,,,,,,2,1.8887675338074759,sys1_s1_ub_rg_b256_z0.5_ep128_L94_m1_sd1,135538119.65622994,controls,True
sys1,sys1_s1_ub_rg_b256_z0.5_ep64_L60_m1_sd1,sys1/sys1_s1_ub_rg_b256_z0.5_ep64_L60_m1_sd1/summary.json,packet,,ok,controls,1,ub_rg,256,0.5,64,60,1,0,0,,role_packed,hidden,42129592.362122916,6.076488891693138,,,,11400.511,690594.074,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_dispatch_mb256_z0.5_ep64_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_combine_mb256_z0.5_ep64_sd1/summary.json""]",,packet,sys1,256,64,sys1,60,0,1,0,role_packed,1,ub_rg,1,hidden,controls,0.5,,,,,,,256,690594.074,11400.511,,60,,1,,,,,90.0,75.0,,60,,,,,6.076488891693138,,,42129592.362122916,,,,,,690594.074,11400.511,,,,,,2,6.076488891693138,sys1_s1_ub_rg_b256_z0.5_ep64_L60_m1_sd1,42129592.362122916,controls,True
sys1,sys1_s1_ub_rg_b256_z0.9_ep128_L60_m1_sd1,sys1/sys1_s1_ub_rg_b256_z0.9_ep128_L60_m1_sd1/summary.json,packet,,ok,main,1,ub_rg,256,0.9,128,60,1,0,0,,role_packed,hidden,463277008.48212296,0.5525851603099328,,,,30402.613,7690715.574,,缺失,,"[""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_dispatch_mb256_z0.9_ep128_sd1/summary.json"", ""/home/luke/workspace/dyn_latency/results/ub_rg_system_packet/network/s1_ub_rg_combine_mb256_z0.9_ep128_sd1/summary.json""]",,packet,sys1,256,128,sys1,60,0,1,0,role_packed,1,ub_rg,1,hidden,main,0.9,,,,,,,256,7690715.574,30402.613,,60,,1,,,,,90.0,75.0,,60,,,,,0.5525851603099328,,,463277008.48212296,,,,,,7690715.574,30402.613,,,,,,2,0.5525851603099328,sys1_s1_ub_rg_b256_z0.9_ep128_L60_m1_sd1,463277008.48212296,main,True
